Employee_ID,Age,Gender,Marital_Status,Education_Level,Department,Job_Role,Employment_Type,Years_At_Company,Years_In_Current_Role,Monthly_Income,Salary_Hike_Percent,Job_Level,Performance_Rating,Job_Satisfaction,Work_Life_Balance,Environment_Satisfaction,Relationship_Satisfaction,Training_Hours_Last_Year,Overtime,Remote_Work,Business_Travel,Distance_From_Home,Commute_Time_Minutes,Number_Of_Projects,Team_Size,Manager_Rating,Absence_Days,Promotion_Last_5_Years,Stock_Option,Attrition_Risk_Score,Attrition
200015,32,Male,Married,Master,Finance,Financial Analyst,Full-Time,1,1,6423,16.9,1,3,3,3,4,4,43,No,Yes,Rarely,8,22,6,12,4,6,No,No,30,No
200016,32,Male,Single,Bachelor,Marketing,Marketing Manager,Full-Time,8,4,5655,15.6,1,3,1,3,1,3,39,No,Yes,Never,12,54,4,6,3,4,No,Yes,55,No
200017,56,Female,Married,Bachelor,Marketing,Marketing Executive,Full-Time,20,18,14045,10.3,5,3,3,1,3,2,69,No,Yes,Never,15,56,5,7,3,9,No,Yes,46,No
200018,56,Male,Single,Bachelor,Sales,Sales Manager,Full-Time,5,4,6274,10.4,2,3,4,3,3,4,10,Yes,No,Frequently,29,120,3,3,3,7,No,No,52,No
200019,45,Male,Married,High School,Operations,Operations Manager,Full-Time,2,2,2599,14.2,1,3,3,2,3,5,26,No,Yes,Rarely,29,67,4,8,3,8,No,No,45,Yes
200020,39,Female,Single,Bachelor,IT,System Administrator,Full-Time,5,0,10767,17.4,3,2,4,2,4,3,19,No,No,Never,15,60,3,17,2,1,No,Yes,41,No
200021,43,Male,Married,Master,Sales,Sales Manager,Full-Time,2,1,9458,18.9,3,3,2,4,2,3,52,Yes,Yes,Rarely,11,31,4,8,2,4,No,Yes,74,Yes
200022,49,Male,Married,Master,Operations,Operations Executive,Full-Time,17,3,13544,12.1,5,4,3,4,2,4,32,Yes,No,Frequently,14,41,3,9,4,6,No,Yes,48,No
200023,28,Female,Single,Bachelor,Marketing,Marketing Manager,Part-Time,4,0,6883,15.1,2,4,3,2,4,2,42,No,Yes,Frequently,20,75,4,13,5,4,No,No,56,Yes
200024,47,Male,Married,Master,HR,HR Manager,Part-Time,18,9,12385,17.3,4,3,2,2,5,4,49,No,Yes,Rarely,9,29,6,7,1,4,No,Yes,60,No
200025,25,Male,Married,High School,Operations,Operations Manager,Full-Time,2,1,6312,15.3,2,3,3,5,4,3,35,Yes,No,Rarely,10,34,3,12,3,2,No,No,35,No
200026,30,Male,Married,Bachelor,Finance,Finance Manager,Full-Time,7,5,9910,12.8,3,4,4,3,3,3,58,Yes,No,Never,15,36,6,2,3,8,Yes,Yes,22,No
200027,44,Male,Married,Bachelor,Sales,Sales Manager,Full-Time,7,1,10571,14.5,4,4,3,4,3,3,46,Yes,No,Rarely,14,41,3,10,4,4,No,Yes,59,Yes
200028,23,Male,Single,PhD,HR,Recruiter,Contract,5,1,8899,11.2,3,3,5,3,4,1,44,No,Yes,Never,21,62,2,2,4,1,No,Yes,35,No
200029,35,Male,Married,High School,IT,Software Engineer,Full-Time,1,1,6513,11.5,2,3,3,2,4,4,15,No,No,Frequently,8,26,4,5,4,4,No,No,45,No
200030,28,Female,Single,Bachelor,Sales,Account Executive,Part-Time,10,10,10623,10.2,3,4,2,3,3,3,48,Yes,No,Never,11,33,10,8,3,11,Yes,Yes,28,No
200031,34,Male,Single,Master,Finance,Financial Analyst,Contract,8,3,7655,9.7,1,4,3,3,3,4,17,No,No,Rarely,7,20,5,7,3,7,Yes,No,21,No
200032,18,Male,Single,Master,Marketing,Content Strategist,Full-Time,0,0,7798,14.2,1,3,2,3,5,3,58,Yes,No,Rarely,8,16,3,2,4,7,No,Yes,64,Yes
200033,20,Female,Single,High School,Operations,Operations Manager,Full-Time,2,0,7307,9.3,3,3,1,1,3,4,49,No,No,Rarely,15,44,6,10,3,3,No,Yes,47,No
200034,30,Male,Single,Bachelor,IT,Data Analyst,Full-Time,0,0,10872,15.5,3,4,3,3,5,5,55,No,No,Rarely,11,39,3,7,4,4,No,Yes,20,No
200035,44,Female,Divorced,Bachelor,IT,IT Manager,Full-Time,2,0,5731,8.7,1,3,5,3,3,3,42,No,No,Rarely,7,13,7,16,5,5,No,No,21,No
200036,34,Male,Married,Master,IT,IT Manager,Full-Time,4,3,11169,13.1,3,3,1,1,3,4,43,No,Yes,Rarely,28,79,3,4,3,2,No,Yes,56,No
200037,36,Female,Divorced,High School,Finance,Accountant,Contract,6,5,8400,19.7,3,4,3,4,4,5,47,No,No,Never,25,70,5,7,4,5,Yes,Yes,17,No
200038,42,Female,Single,High School,Marketing,Marketing Manager,Full-Time,4,3,3542,12.8,1,2,2,4,3,5,52,No,No,Rarely,11,30,5,10,4,2,No,No,45,Yes
200039,28,Male,Single,Master,HR,Recruiter,Full-Time,8,4,8941,17.6,3,4,1,2,1,3,19,Yes,No,Rarely,23,56,6,12,5,7,No,Yes,66,No
200040,39,Male,Single,High School,IT,Data Analyst,Full-Time,4,3,4362,16.0,1,3,2,5,4,4,53,Yes,No,Never,3,6,2,6,3,6,No,No,53,No
200041,29,Male,Married,Master,Operations,Operations Manager,Full-Time,8,1,10021,16.1,3,4,4,4,3,2,30,Yes,No,Rarely,37,150,8,4,1,10,No,Yes,67,No
200042,20,Female,Married,High School,Marketing,Marketing Executive,Contract,2,1,4412,12.3,1,3,4,3,2,3,37,No,No,Rarely,13,36,3,8,2,3,No,Yes,42,No
200043,32,Male,Single,Bachelor,IT,IT Manager,Full-Time,1,0,10697,19.0,3,4,4,3,3,4,27,No,No,Rarely,18,50,2,2,3,5,No,Yes,17,No
200044,41,Male,Married,Bachelor,IT,Software Engineer,Full-Time,2,2,6854,13.4,1,3,4,4,3,1,58,Yes,No,Never,8,25,5,5,4,7,No,No,43,No
200045,39,Female,Married,Bachelor,HR,Recruiter,Full-Time,0,0,5144,15.1,1,1,4,3,3,2,39,No,Yes,Rarely,17,64,2,8,3,3,No,No,42,No
200046,36,Female,Single,Bachelor,IT,IT Manager,Full-Time,2,0,5447,13.4,1,3,3,2,3,3,68,Yes,Yes,Frequently,15,52,3,9,2,8,No,No,71,Yes
200047,58,Male,Single,Bachelor,Operations,Operations Manager,Full-Time,2,2,5198,17.4,2,4,4,1,4,3,44,No,Yes,Rarely,5,14,4,9,1,2,No,No,32,No
200048,40,Male,Married,Bachelor,IT,Software Engineer,Full-Time,18,15,16326,10.7,5,2,3,4,1,4,2,Yes,No,Never,3,8,6,4,5,4,No,Yes,35,No
200049,45,Male,Married,Bachelor,Marketing,Marketing Manager,Full-Time,8,6,7051,12.9,2,4,2,3,3,2,65,No,Yes,Never,21,36,5,11,4,4,Yes,No,43,Yes
200050,56,Female,Married,Bachelor,Sales,Account Executive,Full-Time,18,4,14246,15.9,5,3,1,3,2,3,39,No,No,Rarely,19,70,7,8,2,5,No,Yes,51,No
200051,24,Female,Married,Master,Sales,Sales Manager,Full-Time,0,0,7072,15.6,1,3,4,2,3,4,34,Yes,No,Rarely,19,72,5,9,2,6,No,No,57,Yes
200052,27,Male,Single,Master,Finance,Auditor,Full-Time,4,1,9439,9.7,2,3,2,4,4,4,38,No,No,Rarely,23,59,2,6,4,9,No,No,48,No
200053,52,Female,Single,Bachelor,Operations,Operations Manager,Contract,3,2,4863,17.5,1,3,1,3,3,3,54,Yes,Yes,Rarely,8,21,1,4,5,6,No,No,65,Yes
200054,29,Male,Married,High School,IT,Data Analyst,Full-Time,10,3,9544,6.0,3,2,1,5,3,4,57,No,No,Never,5,10,5,4,4,7,No,Yes,48,No
200055,36,Male,Single,Bachelor,Sales,Account Executive,Full-Time,5,4,8281,16.0,2,3,4,4,4,2,21,No,Yes,Never,4,17,1,9,3,3,No,No,49,Yes
200056,46,Female,Married,High School,Sales,Sales Manager,Full-Time,1,1,3341,18.1,1,5,3,3,3,3,4,Yes,No,Rarely,22,83,7,6,4,4,No,No,62,No
200057,44,Female,Single,High School,Operations,Logistics Coordinator,Full-Time,7,2,9246,15.6,3,5,2,2,5,3,32,No,Yes,Frequently,22,95,3,5,4,7,Yes,Yes,55,No
200058,52,Female,Single,Bachelor,Sales,Sales Manager,Full-Time,1,0,7329,9.6,3,3,3,3,3,4,11,Yes,No,Rarely,25,98,1,10,4,4,No,Yes,65,Yes
200059,49,Female,Married,High School,IT,Software Engineer,Full-Time,5,0,6855,12.7,2,5,4,3,4,3,15,No,Yes,Rarely,16,39,6,6,5,2,No,No,20,No
200060,46,Male,Single,Bachelor,HR,HR Executive,Full-Time,4,2,5869,8.8,2,4,4,3,4,3,46,No,No,Rarely,31,133,4,5,4,7,No,No,28,No
200061,29,Female,Divorced,High School,IT,Software Engineer,Full-Time,9,9,10740,7.5,4,3,4,2,1,3,13,No,Yes,Rarely,21,62,3,3,3,5,No,Yes,50,Yes
200062,43,Male,Single,Master,Sales,Business Development,Part-Time,2,1,9002,14.3,2,3,4,3,4,4,50,No,No,Rarely,5,5,6,12,4,4,No,No,11,No
200063,39,Male,Married,Bachelor,Sales,Business Development,Full-Time,1,0,10294,11.7,3,3,4,4,2,2,65,No,No,Rarely,21,79,7,9,1,5,No,Yes,65,No
200064,24,Male,Single,Bachelor,Sales,Sales Executive,Full-Time,6,2,10999,17.4,3,3,1,4,4,4,27,No,No,Frequently,37,150,5,12,4,3,No,Yes,55,Yes
200065,49,Female,Single,Bachelor,Marketing,Content Strategist,Full-Time,3,1,5983,18.6,2,3,3,4,4,1,13,No,Yes,Never,14,39,4,8,5,6,No,No,36,No
200066,43,Female,Single,Master,IT,Software Engineer,Full-Time,3,0,9455,12.2,2,1,4,1,3,2,7,Yes,Yes,Rarely,13,37,9,16,2,10,No,No,72,Yes
200067,36,Male,Single,Bachelor,Sales,Sales Manager,Full-Time,3,0,7761,21.2,2,3,1,3,5,3,9,Yes,No,Rarely,8,24,5,6,4,4,No,No,46,No
200068,34,Male,Married,Bachelor,Operations,Logistics Coordinator,Full-Time,14,10,10625,12.2,3,3,3,5,3,5,31,No,No,Rarely,14,54,5,12,2,5,No,Yes,41,Yes
200069,25,Female,Married,Bachelor,Operations,Quality Analyst,Part-Time,0,0,4620,12.2,1,3,3,1,3,4,0,No,No,Rarely,14,43,1,9,3,9,No,No,45,No
200070,38,Male,Married,Bachelor,Marketing,Content Strategist,Contract,14,9,10868,13.6,4,3,3,1,1,4,36,No,No,Frequently,5,17,2,14,2,6,No,Yes,90,Yes
200071,40,Female,Single,Master,Sales,Account Executive,Full-Time,2,0,7287,14.9,2,3,2,3,4,5,42,No,No,Rarely,6,21,3,12,3,6,No,No,44,No
200072,29,Female,Divorced,Master,IT,Software Engineer,Part-Time,1,0,8217,17.6,1,5,1,3,3,2,41,Yes,No,Never,27,80,2,10,2,19,No,Yes,100,Yes
200073,46,Male,Single,PhD,IT,System Administrator,Full-Time,6,4,12546,14.1,2,3,3,3,4,3,41,No,No,Rarely,11,42,3,8,3,7,No,No,29,No
200074,26,Male,Married,Master,Sales,Sales Manager,Full-Time,8,7,10468,14.1,3,4,3,3,4,3,30,No,Yes,Rarely,19,74,4,8,5,7,No,Yes,38,Yes
200075,18,Male,Married,Bachelor,IT,IT Manager,Full-Time,0,0,6880,8.3,2,4,4,4,2,3,56,Yes,Yes,Rarely,17,46,2,9,4,5,No,No,57,No
200076,45,Female,Single,Bachelor,Sales,Sales Executive,Full-Time,2,2,7242,13.8,2,5,2,3,3,3,0,Yes,No,Rarely,11,23,5,10,3,8,No,Yes,48,No
200077,32,Female,Single,Master,Operations,Operations Manager,Full-Time,14,8,11688,13.0,4,1,4,3,4,3,36,No,No,Frequently,5,17,6,5,2,3,No,Yes,25,No
200078,35,Male,Married,High School,Finance,Auditor,Full-Time,7,6,9742,14.1,4,4,2,5,3,4,31,Yes,Yes,Rarely,9,32,6,8,4,12,No,Yes,38,No
200079,28,Male,Married,Bachelor,Operations,Quality Analyst,Full-Time,3,2,6794,17.2,2,5,1,4,3,1,56,No,Yes,Never,17,64,4,10,2,4,No,No,58,No
200080,22,Male,Married,Bachelor,IT,Software Engineer,Contract,4,3,8235,17.0,2,3,2,2,2,3,46,Yes,No,Rarely,27,78,4,11,4,13,No,No,100,Yes
200081,47,Male,Married,High School,HR,HR Executive,Full-Time,1,1,3510,12.5,1,3,4,3,3,2,18,No,Yes,Rarely,12,43,3,11,4,3,No,No,47,Yes
200082,30,Female,Married,Bachelor,Sales,Account Executive,Full-Time,0,0,8238,21.2,3,4,1,2,2,4,35,Yes,Yes,Rarely,12,23,2,14,3,9,No,Yes,68,Yes
200083,51,Male,Married,Bachelor,IT,Data Analyst,Full-Time,0,0,8753,16.3,2,4,3,1,4,2,21,No,No,Rarely,27,56,4,10,2,6,No,Yes,60,No
200084,43,Female,Single,PhD,IT,IT Manager,Full-Time,4,4,14391,7.4,3,3,4,2,3,4,50,No,No,Never,25,59,5,8,4,6,No,Yes,40,No
200085,33,Female,Divorced,Master,IT,IT Manager,Full-Time,11,10,11993,13.0,2,3,2,3,4,2,26,No,Yes,Rarely,17,64,5,3,2,8,No,Yes,52,No
200086,26,Male,Married,High School,Sales,Business Development,Full-Time,7,5,9225,13.3,3,3,2,4,4,4,44,No,Yes,Rarely,15,43,1,4,4,7,No,Yes,27,No
200087,29,Male,Single,Master,Sales,Sales Executive,Full-Time,3,2,9338,14.1,3,3,2,2,3,4,47,Yes,Yes,Frequently,12,55,2,9,4,6,No,Yes,88,Yes
200088,25,Male,Divorced,High School,Sales,Business Development,Full-Time,7,0,8998,16.7,4,4,2,3,2,4,44,No,No,Frequently,5,13,4,12,3,5,No,Yes,56,Yes
200089,55,Male,Married,High School,HR,HR Executive,Full-Time,16,7,9928,17.5,5,5,2,2,5,4,30,No,Yes,Never,13,38,4,11,2,3,No,Yes,45,No
200090,37,Male,Divorced,Master,IT,IT Manager,Contract,1,0,8773,19.3,2,3,5,3,2,4,0,No,No,Frequently,14,57,4,2,4,6,No,No,68,Yes
200091,46,Male,Married,High School,Sales,Business Development,Full-Time,1,0,6348,11.5,2,4,1,3,3,3,47,Yes,Yes,Rarely,10,28,4,7,3,6,No,No,62,No
200092,25,Female,Single,High School,HR,Recruiter,Full-Time,7,6,7412,12.8,3,3,2,4,1,3,23,No,No,Never,19,74,3,7,2,3,No,Yes,49,No
200093,38,Male,Married,High School,IT,Software Engineer,Contract,3,1,7882,16.9,3,4,5,4,3,3,13,Yes,No,Never,27,84,1,9,3,4,No,Yes,46,No
200094,47,Male,Married,Master,Sales,Sales Executive,Full-Time,4,4,6170,16.9,1,3,1,3,3,3,25,Yes,No,Never,15,42,2,11,3,7,No,Yes,45,No
200095,33,Male,Married,Bachelor,Marketing,Marketing Manager,Full-Time,3,1,5484,14.2,1,3,3,2,3,3,38,No,No,Never,6,20,4,8,5,2,No,No,31,No
200096,45,Male,Single,Bachelor,Operations,Quality Analyst,Full-Time,12,0,11636,17.7,4,4,3,3,3,3,31,No,No,Rarely,16,43,5,16,5,5,No,Yes,2,No
200097,26,Female,Married,High School,IT,IT Manager,Full-Time,7,7,11755,10.8,4,3,3,4,3,5,17,Yes,No,Rarely,13,50,4,6,2,4,No,Yes,56,Yes
200098,24,Male,Married,Master,IT,Software Engineer,Full-Time,3,3,6838,13.7,1,4,3,1,2,5,0,Yes,Yes,Rarely,17,28,3,12,5,7,No,Yes,46,No
200099,39,Female,Married,High School,IT,System Administrator,Full-Time,2,0,7702,17.2,2,3,3,4,2,4,37,No,No,Rarely,18,48,2,4,3,8,No,No,33,No
200100,33,Male,Single,High School,IT,Software Engineer,Full-Time,15,3,10776,18.6,2,5,4,1,4,3,40,Yes,No,Never,11,43,6,11,2,6,No,Yes,57,Yes
200101,42,Male,Married,High School,IT,Data Analyst,Part-Time,3,1,9272,22.5,3,3,2,2,3,3,47,No,Yes,Rarely,14,43,7,7,2,4,No,Yes,60,Yes
200102,18,Male,Single,High School,HR,HR Executive,Full-Time,0,0,7413,11.2,3,4,3,5,4,3,57,No,No,Rarely,9,30,2,8,2,4,No,Yes,38,No
200103,42,Female,Single,Bachelor,Finance,Auditor,Part-Time,1,1,6277,12.1,2,4,5,4,3,4,13,No,Yes,Rarely,8,33,3,4,1,0,No,No,44,Yes
200104,59,Male,Single,Bachelor,Sales,Account Executive,Full-Time,3,3,5894,16.6,2,4,2,4,2,3,41,Yes,No,Never,4,13,2,5,2,4,No,No,76,Yes
200105,36,Male,Married,Bachelor,IT,Data Analyst,Full-Time,16,11,13799,10.0,4,1,4,3,4,3,27,No,No,Never,36,72,1,15,4,6,No,Yes,40,Yes
200106,36,Female,Single,Bachelor,Operations,Logistics Coordinator,Full-Time,2,0,5715,17.8,1,4,4,4,1,3,26,No,Yes,Rarely,5,21,5,7,2,4,No,No,42,No
200107,38,Male,Single,Bachelor,Sales,Sales Manager,Full-Time,6,3,9710,13.9,3,3,4,5,4,3,54,Yes,No,Never,14,54,5,17,4,9,No,Yes,30,No
200108,19,Female,Single,Bachelor,IT,Software Engineer,Full-Time,1,0,9886,13.0,3,3,4,4,1,2,45,No,No,Never,28,102,6,8,3,5,No,Yes,42,No
200109,40,Male,Married,High School,Finance,Accountant,Full-Time,10,4,11880,23.7,5,3,2,4,4,3,39,No,No,Frequently,9,39,3,8,3,5,No,Yes,30,No
200110,22,Female,Single,Master,IT,System Administrator,Full-Time,1,0,6931,17.2,1,4,5,4,3,2,37,No,Yes,Frequently,35,146,9,11,4,3,No,No,64,No
200111,32,Male,Single,High School,IT,Software Engineer,Part-Time,5,0,7482,12.3,2,3,5,2,2,4,42,No,Yes,Frequently,17,66,3,10,3,5,No,No,56,No
200112,47,Female,Married,Master,IT,Software Engineer,Full-Time,8,7,13165,18.6,3,3,4,3,3,3,52,Yes,No,Frequently,9,27,3,5,1,4,No,Yes,37,No
200113,29,Male,Married,Bachelor,IT,Data Analyst,Full-Time,3,1,9666,15.9,3,3,2,2,3,4,55,No,No,Rarely,26,67,6,4,4,4,No,Yes,57,Yes
200114,41,Female,Single,High School,Sales,Account Executive,Full-Time,1,1,4873,15.2,2,3,4,5,3,2,29,Yes,Yes,Rarely,6,19,5,10,3,5,No,No,60,No
200115,45,Female,Single,High School,IT,IT Manager,Full-Time,15,4,12455,13.4,4,4,3,3,3,3,44,No,No,Rarely,3,10,3,12,3,8,No,Yes,29,No
200116,39,Female,Single,Master,IT,IT Manager,Contract,4,1,9955,15.9,2,4,3,3,4,2,64,No,Yes,Rarely,15,40,4,11,3,7,No,No,40,No
200117,24,Male,Married,Master,Marketing,Content Strategist,Full-Time,1,1,8544,13.7,2,3,2,2,3,2,21,No,Yes,Frequently,6,20,4,9,3,7,No,No,97,Yes
200118,33,Male,Married,Bachelor,Operations,Quality Analyst,Full-Time,1,1,4721,11.6,1,4,1,4,5,3,19,No,No,Rarely,3,10,3,15,3,8,No,Yes,23,No
200119,54,Male,Married,Bachelor,IT,System Administrator,Full-Time,0,0,6646,9.6,2,2,3,5,2,4,30,No,Yes,Rarely,3,10,3,2,3,7,No,No,45,No
200120,18,Female,Single,Bachelor,IT,System Administrator,Full-Time,0,0,8698,14.6,2,2,2,3,5,5,20,No,No,Never,11,31,4,10,3,8,No,No,43,No
200121,34,Female,Married,Master,IT,IT Manager,Full-Time,2,0,8017,11.1,2,2,2,4,4,3,16,No,Yes,Rarely,28,125,4,2,3,3,No,No,61,Yes
200122,31,Male,Single,Bachelor,Finance,Auditor,Full-Time,4,1,10431,16.2,3,3,3,3,3,4,38,Yes,No,Rarely,25,76,7,7,5,4,No,Yes,36,No
200123,37,Male,Married,Master,HR,Recruiter,Full-Time,2,0,5578,4.9,1,1,3,4,4,3,34,Yes,No,Frequently,8,30,2,7,4,6,No,No,61,Yes
200124,43,Female,Married,High School,Finance,Financial Analyst,Full-Time,7,0,8698,10.4,4,3,3,4,4,4,52,No,No,Rarely,14,55,2,7,4,6,No,Yes,7,No
200125,50,Female,Single,Bachelor,IT,Software Engineer,Full-Time,8,1,12370,17.6,3,3,3,4,2,3,46,No,Yes,Rarely,15,53,2,3,3,3,No,Yes,31,No
200126,34,Male,Single,High School,Sales,Sales Executive,Full-Time,12,11,7145,17.8,3,3,2,3,5,2,76,No,No,Never,10,40,5,10,5,8,No,Yes,38,No
200127,43,Male,Single,Bachelor,IT,System Administrator,Full-Time,5,5,9935,13.2,3,4,4,4,5,3,46,No,Yes,Rarely,21,67,8,8,3,4,Yes,Yes,3,No
200128,40,Male,Married,Bachelor,Finance,Finance Manager,Full-Time,0,0,8884,8.5,3,2,3,3,3,3,35,No,Yes,Never,12,30,8,14,2,6,No,Yes,51,No
200129,40,Male,Married,Master,Finance,Finance Manager,Full-Time,6,2,11860,13.1,3,4,4,2,3,4,83,No,No,Rarely,32,89,4,7,4,5,Yes,Yes,40,Yes
200130,31,Male,Married,Master,Operations,Operations Executive,Full-Time,7,2,8601,16.1,2,3,4,2,1,4,72,No,Yes,Rarely,29,75,5,8,3,2,No,No,53,Yes
200131,27,Male,Married,Bachelor,Marketing,Marketing Manager,Full-Time,3,1,7159,20.3,3,3,4,4,3,4,51,Yes,Yes,Never,20,104,5,6,1,2,No,Yes,40,No
200132,26,Male,Single,PhD,Operations,Quality Analyst,Full-Time,4,3,11759,15.8,3,3,2,5,4,3,36,No,Yes,Frequently,4,13,6,11,4,7,No,Yes,31,No
200133,29,Male,Married,Bachelor,Sales,Account Executive,Full-Time,1,0,7268,15.9,2,5,5,4,4,3,33,No,No,Rarely,7,19,2,7,4,2,No,No,34,No
200134,39,Male,Single,High School,Operations,Operations Manager,Full-Time,17,11,9971,8.8,5,3,3,2,3,4,37,No,No,Never,34,95,6,15,2,8,No,Yes,62,Yes
200135,43,Female,Married,High School,Finance,Auditor,Full-Time,4,1,8181,13.2,3,3,5,4,3,4,47,No,Yes,Rarely,2,7,4,16,3,3,No,Yes,33,No
200136,39,Female,Married,Bachelor,Operations,Quality Analyst,Part-Time,16,14,11850,9.8,5,1,4,5,4,5,35,No,Yes,Never,15,42,2,11,3,6,No,Yes,24,No
200137,31,Male,Single,Master,Marketing,Content Strategist,Full-Time,6,4,12683,13.0,4,3,4,4,1,3,26,No,No,Never,34,150,3,8,3,3,No,Yes,35,No
200138,52,Male,Divorced,Bachelor,IT,Data Analyst,Full-Time,7,7,10065,16.7,2,4,4,4,2,4,25,No,No,Never,8,15,3,5,3,3,No,Yes,14,No
200139,50,Male,Single,High School,IT,Data Analyst,Full-Time,9,1,11368,9.0,4,2,2,4,4,2,37,No,Yes,Never,10,31,4,10,3,4,No,Yes,53,Yes
200140,33,Male,Married,Master,Marketing,SEO Specialist,Full-Time,4,3,7972,16.0,1,4,2,3,1,2,70,Yes,No,Rarely,2,5,4,8,3,8,No,No,83,Yes
200141,29,Female,Married,High School,Sales,Business Development,Contract,3,1,5755,20.7,2,4,2,3,4,3,42,No,Yes,Rarely,10,25,3,5,3,2,No,No,53,Yes
200142,37,Male,Single,Master,Operations,Quality Analyst,Full-Time,15,15,14690,10.3,5,4,3,3,3,4,35,No,No,Never,15,40,2,5,3,4,Yes,Yes,12,No
200143,47,Female,Divorced,Bachelor,IT,System Administrator,Full-Time,2,2,10230,13.3,3,2,2,2,3,3,56,No,No,Rarely,27,94,4,2,4,9,No,Yes,85,Yes
200144,39,Male,Single,Master,IT,Software Engineer,Full-Time,1,0,10816,14.6,2,3,1,5,1,3,12,Yes,Yes,Rarely,13,35,2,10,4,8,No,No,67,No
200145,41,Female,Married,Bachelor,Sales,Business Development,Full-Time,4,1,8187,19.8,3,4,4,4,4,4,50,No,No,Never,38,89,8,9,4,3,No,Yes,35,No
200146,34,Male,Single,PhD,IT,Software Engineer,Full-Time,9,4,17252,10.2,4,2,3,4,5,3,57,No,No,Frequently,16,75,4,9,4,3,No,Yes,28,No
200147,40,Male,Single,Bachelor,Marketing,Marketing Manager,Full-Time,4,0,7797,17.1,2,4,4,4,2,3,47,Yes,No,Frequently,20,90,4,7,3,7,No,Yes,57,No
200148,50,Female,Single,Master,Finance,Accountant,Contract,12,5,16715,14.8,4,4,4,3,4,3,16,Yes,No,Frequently,18,62,2,14,4,4,Yes,Yes,24,No
200149,34,Male,Divorced,Bachelor,IT,Software Engineer,Full-Time,6,3,10502,17.6,2,5,3,4,3,4,24,Yes,Yes,Never,13,49,4,4,4,8,No,Yes,27,No
200150,37,Female,Married,Master,Finance,Auditor,Full-Time,11,8,16858,13.9,5,2,3,2,3,3,30,Yes,Yes,Rarely,16,65,5,13,4,9,No,Yes,42,No
200151,38,Female,Divorced,High School,Marketing,Content Strategist,Full-Time,6,5,6830,16.8,2,3,3,3,3,5,23,No,Yes,Rarely,29,72,3,15,3,1,No,No,22,No
